NShow	Energy	ZFInt	ZhAng	AzAng	NParticles
1	127.382	21.9606	7.67056	62.5855	6
16	24.6816	11.3915	11.8582	-46.7231	1
20	39.2588	37.8632	23.5245	16.9828	2
21	29.1311	15.2569	18.3638	4.61392	1
22	14.6035	29.6328	21.0404	26.8451	1
29	24.9686	14.4036	6.47107	128.942	1
30	22.5433	18.4825	22.4415	44.1507	1
32	27.1327	29.1904	15.0532	-12.6753	16
34	27.198	12.9201	19.9371	75.6216	1
35	10.2988	24.2244	24.5873	160.935	1
36	14.4388	12.4851	5.35382	148.271	1
42	15.6963	36.4988	24.2674	-93.3175	1
43	12.0577	19.1223	17.2195	156.822	1
51	62.7455	21.6165	20.2759	-175.585	2
54	27.2172	13.6002	10.3207	116.058	1
56	214.398	52.6363	17.9182	-72.5179	3
59	32.511	17.202	11.0899	-50.4495	1
62	15.0759	38.3899	22.8192	141.097	1
68	86.6556	20.8317	12.0709	-104.295	3
72	33.9555	15.5823	16.9608	-144.438	1
87	13.023	10.9095	14.3291	-3.96921	2
88	407.331	45.1954	25.0474	86.1151	8
90	25.5228	28.4013	24.7865	32.6147	2
98	58.9179	13.7543	10.4047	-106.65	1
103	11.4022	16.3141	21.5458	74.0202	1
107	54.5564	35.9673	25.4802	153.512	1
109	112.341	23.4402	23.3647	55.3886	1
119	12.6083	20.337	19.1827	-43.3669	1
124	12.6391	33.04	25.0644	-150.639	1
125	48.6765	20.6524	6.11463	-112.505	3
129	79.9637	9.20665	12.7427	-102.626	7
130	10.0779	20.4578	20.2251	-63.6243	1
132	18.199	26.7836	19.4066	-59.1119	1
138	28.0144	6.40775	17.3992	90.7422	1
140	16.0247	19.7138	16.3044	174.868	1
142	11.913	16.411	9.73957	136.748	1
148	14.1268	24.6252	18.3768	-93.6032	1
152	13.8721	17.309	8.12113	-124.633	1
160	11.3851	14.6934	20.1476	105.029	1
162	15.709	16.1498	19.7954	-70.3673	1
166	15.6118	29.7177	23.5663	103.493	1
173	43.5418	33.6649	15.7051	-47.0972	5
174	72.1368	19.5188	20.0636	-0.481886	1
176	21.7008	20.9121	21.6646	-89.7358	1
184	15.2969	24.056	19.1954	-27.9425	2
187	46.2815	24.8388	25.3911	121.851	2
190	40.2977	33.9455	9.1458	-82.3994	2
196	28.9438	17.876	8.1295	58.1977	5
198	17.5576	23.086	18.3279	129.681	1
202	71.4299	30.8719	11.3047	50.9406	2
204	19.5355	27.7055	15.9659	-105.596	1
205	57.9646	13.8586	24.3691	-64.0937	3
206	32.1918	16.9656	19.6722	-170.043	1
208	20.6731	32.8086	20.1676	81.626	1
217	99.4561	31.5377	14.635	-54.1409	2
220	18.7244	19.1191	25.492	-104.417	1
221	22.4219	7.09182	25.7418	140.847	1
226	29.6842	17.3015	7.75005	13.398	2
229	49.8055	14.2882	22.0951	108.223	1
237	20.0852	28.7654	17.4806	-102.563	1
239	28.9159	16.4445	10.8239	-75.8279	2
241	12.8212	16.0634	21.9725	100.732	1
252	72.2506	20.1121	16.6162	-153.526	1
261	76.2023	21.2688	15.7624	14.0669	2
264	21.3087	18.2955	24.076	110.723	1
266	48.4825	13.9587	5.761	-160.682	2
272	13.7729	13.3403	7.56349	-1.7423	1
274	21.337	13.107	16.6512	157.771	2
275	44.1554	15.2002	24.8398	-129.96	2
282	34.8824	30.2349	14.8719	-151.23	1
287	90.9651	17.4346	6.72347	144.149	2
292	24.274	18.7553	15.2658	-85.5551	1
295	87.3344	19.5891	6.29909	-142.778	2
298	49.1851	9.53392	14.4929	-152.875	1
299	21.8279	34.6051	21.4041	-43.1125	1
303	501.671	27.8228	9.68988	-42.8157	8
317	38.4622	29.5233	14.2018	-61.8711	1
318	98.1741	19.0013	21.6878	5.14735	2
323	50.9314	19.4337	25.5257	-41.2036	2
325	10.3963	17.5171	21.1576	163.346	1
334	37.8578	18.6376	14.0719	108.929	1
336	10.0898	13.1824	17.4763	29.1925	1
340	15.8216	18.0159	5.5454	159.372	1
343	33.4013	13.4177	5.08288	-27.6086	1
349	29.4453	15.4741	7.29988	97.776	1
350	20.2003	21.6876	10.0298	65.3883	1
356	34.8858	18.6761	7.26709	-79.6791	1
358	12.8996	12.5141	24.1312	-176.226	1
359	37.6734	9.03007	14.6085	-119.997	2
360	11.7601	22.7937	11.8077	-128.163	1
361	19.9305	30.8374	3.58506	-152.156	3
373	31.0918	25.6419	14.636	-50.7966	1
374	13.5506	12.7418	19.5972	86.5919	1
376	14.6922	16.7555	2.92387	7.93273	1
377	17.1704	15.6496	23.0511	124.573	1
380	80.877	42.0027	23.4696	107.627	1
382	28.1967	8.38661	4.06851	89.0186	1
385	21.2165	27.3398	17.5885	-77.3565	1
388	17.0216	12.9823	21.656	91.8132	1
396	37.4313	10.3173	22.2715	67.159	3
398	18.8262	21.4039	13.6526	-3.07652	1
401	28.6074	12.6687	16.8989	177.466	1
402	30.0178	29.592	16.1794	4.81848	1
404	10.0939	12.8322	17.8794	-32.6254	1
405	22.3695	19.7608	11.14	-51.7407	1
415	24.5532	11.3517	11.2167	77.9591	2
416	15.5521	17.5423	18.3374	-146.49	1
417	18.1396	20.3911	21.1317	154.052	1
419	15.6177	16.651	3.56695	-179.559	1
423	14.1399	12.796	23.1179	-155.339	1
424	27.868	13.4369	8.24686	88.2798	2
427	54.1669	24.9581	24.8514	48.4649	2
435	10.0619	7.00682	19.5791	40.2632	1
436	22.3619	23.2946	15.178	82.3315	1
437	16.328	33.9322	24.7646	-77.2684	1
444	58.6479	12.6871	19.623	-106.379	3
448	66.6733	21.9541	20.4681	-152.431	1
453	48.08	21.4472	12.1181	13.9861	1
459	12.2912	12.9093	9.0383	39.102	1
461	61.4513	15.2694	15.1702	-7.24347	6
466	19.132	20.3884	24.4508	-14.536	1
471	59.4518	10.5434	20.8426	-95.1483	1
498	10.5949	29.7798	15.1151	109.195	1
499	51.8674	32.7735	12.2826	133.072	1
504	19.6755	23.5561	15.1483	81.5782	1
509	10.8517	12.7759	10.7236	-127.949	1
517	32.1358	10.7696	21.6635	17.5535	1
520	38.6449	14.9562	24.4319	18.2023	1
521	50.1721	20.8875	11.2751	-107.405	2
534	122.052	17.2695	16.5346	-164.946	7
536	10.7873	13.3365	14.0211	-160.676	1
539	13.4162	18.7592	16.7972	-169.785	1
540	15.3168	13.6946	21.8937	-16.3128	1
558	10.2247	22.9623	25.7756	98.3244	1
565	34.9758	22.9849	5.32116	51.3676	1
566	11.4535	14.6717	23.9392	156.698	1
585	62.482	16.373	19.9043	-152.826	1
586	14.5193	18.801	20.2821	-25.4563	1
590	25.9949	13.0295	9.88678	-50.7362	2
594	23.9372	17.5953	22.1467	-56.6073	1
596	50.8565	11.8112	25.5065	65.2609	1
601	24.9697	31.4933	3.46523	65.9952	1
604	13.1676	19.1559	23.9453	123.648	1
605	11.7598	31.3833	22.6772	145.606	1
615	438.08	24.5809	14.3337	-175.582	19
618	29.0887	19.0718	22.541	89.2789	1
619	22.3686	24.0762	18.4317	90.3198	1
624	24.7577	25.6505	19.6919	130.093	1
625	10.3975	10.8522	21.6827	38.1104	1
634	138.805	19.3333	14.1777	-19.4904	5
640	19.6538	9.74081	6.58473	148.229	1
649	11.5884	20.4388	19.8712	-66.918	1
652	30.8035	11.6404	21.9559	59.6322	1
654	310.153	18.9831	13.7245	-85.3709	18
668	56.0353	11.8933	17.7851	-131.377	3
670	29.3428	19.1786	10.4754	-15.2176	2
674	77.9398	29.3418	14.4879	-23.0237	2
675	18.8705	19.054	23.0315	-143.542	1
682	33.1735	22.736	23.0521	-23.8457	1
705	41.1963	23.5068	11.038	105.846	1
716	11.9196	13.3751	5.99325	48.9105	1
723	35.4329	22.4328	23.5552	-25.8508	2
725	17.2391	12.7395	9.68964	-8.36433	1
731	17.7029	12.0373	17.4609	24.7038	1
733	11.6166	17.4687	14.3833	110.125	1
740	15.598	18.9271	10.1754	-107.27	1
741	65.5667	14.5072	21.6372	-94.0569	4
747	47.6131	19.1117	9.90642	-66.9921	1
753	18.1275	14.796	11.6119	-166.21	3
754	10.6708	12.1512	16.0495	158.002	1
757	25.153	8.88766	23.1809	149.01	4
759	14.9312	15.7559	19.6116	-87.2177	1
761	31.6863	12.9414	12.0838	-7.01384	1
764	11.9619	18.8437	5.857	167.703	1
765	206.824	21.776	7.46601	69.4807	6
776	13.8726	23.3059	12.622	88.7061	1
780	21.7439	13.3005	20.3086	175.594	5
784	11.1925	7.87547	7.32747	-99.8063	1
786	49.5419	24.1512	20.0308	107.024	1
788	24.793	11.9179	10.0546	-54.5989	1
790	10.5514	20.2729	18.9936	-171.768	1
796	31.9578	8.53943	17.5257	23.1806	6
807	38.1259	26.4977	6.19057	60.6875	2
808	12.4277	26.0451	17.775	107.624	1
812	74.1442	26.8516	17.5919	-112.224	1
814	15.7132	17.7041	13.0973	64.6378	1
815	30.528	14.252	24.799	38.694	1
824	29.273	15.2612	5.23334	99.0668	1
828	29.8431	17.5955	23.8828	-169.383	1
836	22.8494	12.7088	13.0611	146.689	1
837	24.0262	23.0415	17.6663	-57.1463	1
838	43.2053	18.0519	8.01722	-52.4121	1
842	19.4544	27.1345	15.6518	166.691	1
843	16.4321	24.7482	22.8606	142.284	1
844	19.0318	16.2832	16.5525	170.795	1
846	41.6397	24.1574	24.1963	109.994	1
852	27.9282	14.6484	25.2281	22.714	1
856	40.3143	16.8905	12.6095	-134.095	1
865	17.4024	16.2553	6.84636	-33.1941	1
870	27.9372	15.6902	12.7219	-44.6628	1
878	109.401	26.0577	22.442	-142.962	4
882	17.6877	23.4153	13.3293	88.4951	1
885	36.1553	18.1605	6.97155	48.9462	2
894	13.6136	22.4027	25.7185	-98.0971	1
897	37.5	24.1945	18.2811	39.364	7
900	198.715	19.9327	17.0138	-33.423	14
903	12.7756	19.8922	17.7739	-23.3091	2
905	50.9153	12.8244	10.6059	-107.856	1
908	42.259	24.5298	23.74	-122.352	2
909	14.5945	23.3948	20.0248	131.968	1
910	27.9872	17.5013	12.6955	-57.0602	1
921	21.5106	20.2599	21.2336	10.2446	1
923	39.0401	12.6394	11.5428	40.9184	1
932	18.2778	51.8669	21.0684	6.21133	1
938	30.2671	14.5471	7.35495	154.225	1
947	293.375	17.964	10.749	81.6748	11
950	13.3402	14.5907	22.6014	-42.43	1
951	21.6165	21.1695	16.8691	155.517	3
955	18.4209	10.786	10.6196	124.023	2
960	32.2957	10.3695	15.252	34.8216	1
961	17.2573	10.837	6.57898	138.85	1
965	17.8717	18.8334	9.91418	55.6477	1
968	11.7101	25.4723	16.761	-118.909	1
976	33.0545	42.9169	19.9843	-163.854	1
981	18.848	14.8757	6.20537	164.751	1
984	13.3616	10.832	16.4044	-56.6568	3
992	12.8739	16.3337	14.7018	-166.435	1
994	33.341	21.4751	5.9924	113.101	2
