N. sh	P. id	x (m)	y (m)	t (ns)	px (GeV/c)	py (GeV/c)	pz (GeV/c)	Psq (GeV)	ek (GeV)	zha (°)	aza (°)
2	5	-201.9	420.298	46566.3	0.188691	0.222028	0.9855	1.05611	0.927432	16.4711	49.6405
5	1	2734.41	1849.16	41688.3	0.176521	0.0605479	0.232008	0.0886532	0.297747	38.8117	18.9323
5	6	651.237	-532.582	36718.8	1.17557	0.333113	2.41814	7.34032	2.6057	26.8068	15.8208
5	13	-2962.93	-2115.34	44320.1	-0.000763678	0.0548185	0.811598	0.661697	0.303206	3.86449	90.7981
8	5	546.435	274.529	45642.4	0.482937	-0.113526	2.1033	4.66998	2.05794	13.2717	-13.2286
11	5	-906.395	9.66018	60656.6	0.243684	-0.305104	1.37333	2.03851	1.32601	15.8718	-51.386
11	5	-702.774	-216.504	60850.2	1.13668	-1.77019	7.60193	62.215	7.7827	15.4686	-57.2945
11	6	-854.311	-254.805	60860.8	0.185711	-0.375273	1.59616	2.72305	1.54789	14.6988	-63.6706
13	5	662.453	-1664.46	37402.8	-0.165342	0.0610441	2.13163	4.57491	2.03585	4.72667	159.736
14	6	2509.38	1847.43	74338.2	0.258138	0.461343	0.884585	1.06196	0.93026	30.8637	60.7715
15	13	-2478.19	4699.13	92071.7	-0.281921	0.402121	0.667227	0.686372	0.313094	36.3543	125.034
17	1	129.185	428.565	52959.2	0.00950006	-0.0191965	0.127944	0.0168285	0.129725	9.50353	-63.6699
18	5	-4481.7	-302.434	93101.6	-0.286503	0.0863787	0.707278	0.589787	0.669552	22.9326	163.222
20	6	67.122	511.566	37912	0.306678	0.580099	6.53332	43.1148	6.46138	5.73528	62.1362
20	5	221.817	857.211	38055.8	0.225877	0.460234	4.36089	19.2802	4.28654	6.70502	63.8588
24	5	689.845	-830.409	174080	0.208163	-0.310681	1.06092	1.26541	1.0242	19.4174	-56.1771
24	3	411.629	-703.095	174044	0.0249309	-0.0108971	0.0705621	0.00571931	0.0751169	21.0864	-23.6097
24	1	436.774	-716.861	174076	0.0260155	-0.0186295	0.0832369	0.00795224	0.0891753	21.0277	-35.6061
24	1	453.613	-781.23	174142	0.037759	-0.0322021	0.115275	0.015751	0.125503	23.2919	-40.4586
34	5	-381.295	487.239	50916.7	0.189087	0.659023	4.20063	18.1154	4.15187	9.26988	73.9907
34	5	361.254	-1764.61	50453.7	0.226203	0.0231394	2.75493	7.64133	2.66066	4.71832	5.84076
34	1	1444.63	-876.594	51071.5	0.0277081	0.0190608	0.213253	0.0466078	0.215888	8.96204	34.5247
34	1	1442.98	-877.362	51070.6	0.0172282	0.0121424	0.14299	0.0208903	0.144535	8.38522	35.176
34	1	1441.97	-876.514	51070.4	0.00695866	0.00557873	0.0612852	0.00383542	0.0619307	8.28011	38.719
34	3	1442.4	-875.649	51070.9	0.0386783	0.0301963	0.29489	0.0893681	0.298434	9.44744	37.9792
47	1	1515.01	-537.153	64513.3	0.0646688	0.0331534	0.195532	0.0435141	0.2086	20.3881	27.1426
49	1	767.6	1330.39	74020.5	0.01642	-0.00747687	0.103727	0.0110849	0.105285	9.86722	-24.4822
50	5	677.216	-1319.12	87213.1	2.59614	0.54365	7.37005	61.3532	7.72788	19.7936	11.8272
50	6	1400.14	1577.27	89345.1	2.27912	1.24666	5.65167	38.69	6.11536	24.6859	28.6782
51	1	260.714	-128.28	29935	0.0114856	-0.00628416	0.0659582	0.00452189	0.067245	11.227	-28.6845
51	1	258.898	-114.67	29930.4	0.0104294	-0.00391944	0.0653491	0.00439464	0.0662921	9.67548	-20.5966
51	1	263.358	-110.662	29932.2	0.00879962	-0.00220038	0.049584	0.00254085	0.0504068	10.3667	-14.0391
51	3	266.064	-104.495	29934.1	0.01741	0.00274112	0.0545619	0.00328762	0.056829	17.9014	8.94752
51	2	261.676	-104.54	29930.7	0.0300304	0.000363974	0.162022	0.0271531	0.164272	10.5012	0.694402
51	3	261.203	-105.288	29930.5	0.0308337	0.000491318	0.200722	0.0412402	0.202567	8.73426	0.9129
51	6	875.755	920.908	30258.2	1.2394	0.224971	5.46698	31.4746	5.50556	12.9752	10.2881
51	5	555.497	-720.825	30569.2	0.0653622	-0.0847429	0.384423	0.159235	0.307135	15.5569	-52.357
51	6	63.4168	-158.494	29878.4	0.208975	-0.131648	1.45731	2.18476	1.37621	9.61908	-32.2098
52	5	295.337	-1848.44	104796	-0.0693933	0.166739	0.984958	1.00276	0.901279	10.3904	112.596
56	5	844.015	-252.65	51396.1	-0.0684024	-0.217675	0.670626	0.5018	0.610556	18.79	-107.445
58	6	-528.234	-180.225	40226.5	-0.0873843	-0.69823	5.70885	33.0861	5.64736	7.02688	-97.1335
58	5	1540.11	-833.709	41443.1	0.567307	-0.423988	2.0418	4.67055	2.05807	19.1301	-36.7733
58	5	629.543	-227.581	40503.8	0.500004	-0.513643	3.78629	14.8498	3.74934	10.7204	-45.7709
58	6	-59.8146	56.6329	40200.1	0.101811	-0.15122	1.67099	2.82545	1.57857	6.22614	-56.0491
58	5	1010.03	289.465	40540.1	0.542535	-0.25015	2.83799	8.4111	2.79646	11.8878	-24.7533
60	6	-123.553	-202.882	65071.6	0.936912	0.318026	4.35631	19.9564	4.36285	12.7961	18.7493
64	5	-1790.36	-2241.6	31648.2	0.142745	-0.173662	0.965803	0.98331	0.891575	13.1028	-50.5808
73	14	5800.7	-6004.2	79582.7	0.123098	0.104757	0.823956	0.70503	0.320849	11.099	40.3981
75	5	-1155.3	-413.773	38116.3	-0.384721	-1.0413	3.3775	12.6398	3.45117	18.1944	-110.277
75	1	666.807	760.083	37422.4	0.00872172	-9.00413e-05	0.0660244	0.0044353	0.066598	7.52551	-0.591489
76	5	41.6436	-499.22	39679.2	2.27731	-4.2006	10.4505	132.045	11.3859	24.5708	-61.5361
76	6	-477.641	-159.132	38991.1	0.587367	-1.44866	4.02552	18.6484	4.21402	21.2224	-67.9297
83	6	4118.1	-1180.73	25478.7	0.282099	-0.241977	0.561391	0.453293	0.575852	33.5061	-40.6222
84	5	551.362	556.618	75373.5	0.329893	-1.70112	9.42366	91.808	9.47657	10.4191	-79.025
84	5	662.318	156.239	75718	0.0221732	-0.290844	1.15146	1.41095	1.08686	14.2151	-85.6403
90	5	-531.122	-532.569	50666.6	-0.0443624	0.0741547	1.21243	1.47746	1.11443	4.07664	120.89
90	6	107.129	239.94	50886.4	0.0986493	0.840358	4.76261	23.3983	4.73268	10.0741	83.3047
90	5	-42.9244	-173.373	50701.7	0.00357552	0.259265	2.51009	6.36779	2.42	5.89767	89.2099
90	1	10.0712	-309.994	50635.1	-0.00321842	0.0185049	0.154204	0.0241317	0.155344	6.94466	99.8663
90	1	-47.3158	-223.002	50670	-0.00149859	0.0198714	0.135277	0.0186971	0.136737	8.38	94.3128
90	3	-48.2331	-206.219	50676.6	0.000791338	0.00630541	0.0554407	0.00311406	0.0552951	6.53897	82.8467
90	1	-75.9592	-258.946	50655	-0.00132169	0.00703763	0.0568222	0.00328004	0.0572716	7.18248	100.636
90	1	-85.9157	-264.151	50653.8	-0.00442965	0.0188933	0.155914	0.0246859	0.157117	7.09475	103.195
90	1	-113.274	-314.878	50642	-0.00337405	0.00555911	0.0619343	0.00387814	0.0622747	5.99393	121.255
100	6	1059.1	318.131	60372.1	1.42156	-0.673127	3.52161	14.8757	3.75269	24.0672	-25.3382
104	6	-1223.98	-2807.82	64017.6	0.893006	0.845847	4.67218	23.3421	4.72687	14.7491	43.4465
105	1	527.703	514.298	29435.5	-0.00832031	-0.0126335	0.0813332	0.00684392	0.082728	10.5361	-123.369
105	6	12.3834	72.1218	30054.3	-0.403122	-0.352994	1.54661	2.67912	1.53455	19.1088	-138.793
105	5	630.842	-788.22	31234.1	0.00775853	-0.323096	0.447181	0.304422	0.456112	35.8566	-88.6244
108	13	-2514.65	506.942	25301.6	-0.562207	0.0113051	2.00321	4.32907	1.34338	15.6799	178.848
110	2	-4422.01	89.8435	67409.6	-0.00876773	-0.00017618	0.0752837	0.00574454	0.0752835	6.64421	-178.849
114	5	-646.44	-2095.74	65022.2	0.104259	-0.104126	1.09913	1.22979	1.00832	7.63562	-44.9634
115	1	-822.73	-735.315	49423.5	-0.00201318	0.0225216	0.0727791	0.00580807	0.0762107	17.2592	95.108
117	5	347.837	232.117	61910.9	-0.726114	0.112183	2.83577	8.5814	2.82565	14.5255	171.217
118	5	3635.88	-2032.13	69938.7	-0.203922	-0.269501	0.880152	0.888883	0.84305	21.0056	-127.114
119	6	241.954	234.653	79923.8	-0.429029	0.514919	2.29022	5.69432	2.28296	16.312	129.801
120	5	93.4103	-170.255	49536.8	0.0740058	-0.0863222	4.29874	18.4921	4.19588	1.51514	-49.3928
120	6	662.13	624.497	49601.7	0.297712	0.148695	5.35579	28.7952	5.2615	3.55548	26.5403
120	5	-1129.98	55.177	49637.9	-0.341313	-0.088158	4.31092	18.7083	4.22094	4.67482	-165.518
121	5	1361.97	130.706	63660.4	0.0095691	-0.727674	4.54162	21.1559	4.49511	9.10353	-89.2466
121	5	586.849	42.3628	63710.1	-0.133666	-1.31094	8.26309	70.0151	8.26251	9.06083	-95.8219
121	5	846.17	926.253	63353.6	-0.0174183	-0.300518	2.22938	5.06077	2.14644	7.68984	-93.3172
122	5	-765.854	1324.23	58579.7	-0.179325	0.247576	1.49387	2.32509	1.42282	11.5651	125.917
125	6	335.248	-1022.22	72366	-0.157025	0.0916582	0.507433	0.290546	0.443623	19.7132	149.727
128	6	1556.56	795.641	63002.9	0.568951	0.622665	1.35826	2.55629	1.49667	31.8395	47.581
129	6	-368.467	-1182.5	73983.1	0.103768	-0.146543	0.731994	0.568058	0.655408	13.7828	-54.6975
129	13	922.682	-565.718	78875.3	0.406457	-0.336285	0.720785	0.797826	0.356818	36.2001	-39.6029
131	5	823.205	-463.547	26059.5	0.347896	0.877075	2.76032	8.50964	2.81338	18.8719	68.364
131	6	58.3797	-148.855	26381	0.0119584	0.226289	0.524212	0.326148	0.475127	23.3777	86.975
