N. Shower	Energy (GeV)	Zfirst (km)	Theta (°)	Phi (°)	N. Particles
2	18.1791	15.4083	16.7441	38.0913	1
5	29.3367	11.9961	23.7213	22.1089	3
8	27.096	15.4764	10.3013	-26.5154	1
11	38.1377	19.6898	16.0744	-49.8532	3
13	16.749	13.2134	14.7645	133.278	1
14	29.6321	22.2314	18.8613	77.2981	1
15	17.2537	27.7639	8.63524	-104.444	1
17	11.1582	17.7791	8.79653	-32.1249	1
18	14.7733	27.9969	14.1298	135.657	1
20	40.5256	13.4186	2.73197	46.871	2
24	19.4615	51.0538	18.9359	-63.5612	4
34	57.277	17.1762	7.57144	67.1586	6
47	18.4685	20.4376	17.1748	77.0187	1
49	22.9703	23.993	10.8681	-63.7125	1
50	47.1276	26.6869	19.4161	23.4232	2
51	56.4174	10.928	8.4701	-26.4353	9
52	10.6667	32.5851	16.7802	107.799	1
56	28.9467	17.0611	13.9406	-132.883	1
58	56.9132	14.0521	7.30871	-60.6928	5
60	21.8356	21.0677	13.9477	15.6556	1
64	11.2727	11.2799	21.3467	11.3582	1
73	16.6983	21.0986	15.1863	80.1036	1
75	25.9538	12.9606	15.1546	-84.9063	2
76	49.8375	12.9445	22.2216	-59.7699	2
83	13.6829	8.44708	17.6776	-122.396	1
84	70.3431	24.3672	10.9432	-86.0738	2
90	53.1368	17.1747	7.80473	87.5321	9
100	38.6329	18.4856	22.8584	-32.4402	1
104	30.8803	20.7025	22.1988	51.1499	1
105	21.719	10.4818	21.5648	-128.358	3
108	11.2749	9.27744	21.5575	-15.8951	1
110	19.9215	21.5562	7.33727	85.6617	1
114	15.1261	21.2369	12.4338	38.3842	1
115	20.0153	16.201	20.2261	87.5254	1
117	56.7681	19.9699	16.448	172.091	1
118	18.7987	22.0131	24.8258	-172.688	1
119	13.8972	25.1947	15.3884	141.261	1
120	47.1624	16.9404	1.04747	-56.1826	3
121	62.5787	20.974	9.36792	-110.413	3
122	12.5308	19.3031	5.29565	122.322	1
125	14.9955	22.0718	24.0149	158.813	1
128	11.7727	18.5727	24.7075	52.9756	1
129	12.9537	23.7438	10.5741	-21.3263	2
131	18.6881	9.45057	21.7976	91.2773	3
132	20.2736	14.4343	15.1066	82.0495	1
134	21.623	14.1287	9.2645	55.8008	1
136	58.2888	23.3972	22.984	-117.515	11
139	18.4706	16.3526	6.0011	64.8346	5
141	14.5743	13.5816	15.2542	53.8775	1
142	42.7945	18.8338	22.1688	-144.179	1
143	26.3664	24.4999	14.4976	64.1185	19
146	33.0354	22.4665	14.0859	-68.8933	1
152	21.71	21.6328	25.7705	-140.723	6
159	34.8641	23.9817	13.9177	96.6208	1
164	83.0756	20.9746	6.73698	96.9993	4
165	10.9089	6.97715	7.32764	18.0602	5
167	10.5407	16.4955	13.3832	18.7701	1
171	12.0003	21.7147	24.1324	98.5622	1
174	10.6745	17.1405	2.01838	-30.9795	1
175	14.3807	15.6284	25.5297	-112.713	1
181	40.9266	22.2386	5.34079	-16.1361	1
186	41.0595	16.2535	17.7021	-139.016	1
188	28.503	17.2928	13.0931	-97.1199	2
193	17.9784	35.1067	22.6205	-68.1354	1
196	13.679	15.065	20.3158	95.3466	2
200	28.0634	13.873	18.0085	-57.7593	1
205	68.7613	17.2285	25.5478	-91.8274	2
207	32.8771	19.735	18.0512	167.846	5
210	14.4502	24.207	12.3131	167.12	2
214	15.5774	22.7171	21.166	-133.247	1
215	11.0568	5.68343	12.1059	-129.199	1
216	22.5908	13.4582	8.51355	-77.4929	1
