Shower	Energy	Zfirst	Theta	Phi	Particles
1	1000	2.18589e+06	0.365347	3.06098	240
2	1000	2.16378e+06	0.33221	-0.162305	51
3	1000	2.29038e+06	0.289072	2.86695	246
4	1000	1.34947e+06	0.362196	2.71631	32
5	1000	1.99795e+06	0.147476	0.840323	49
6	1000	1.29938e+06	0.312999	-1.17066	120
7	1000	1.91748e+06	0.437976	0.84703	35
8	1000	1.85189e+06	0.418241	1.4238	45
9	1000	978908	0.0330125	-0.156632	157
10	1000	3.38135e+06	0.228485	-0.140644	104
11	1000	872218	0.231354	-2.42115	293
12	1000	1.59065e+06	0.400431	2.95069	51
13	1000	1.47545e+06	0.102696	0.524102	103
14	1000	1.77073e+06	0.438074	2.56766	216
15	1000	1.85941e+06	0.205789	1.64619	25
16	1000	1.8454e+06	0.269501	3.12482	137
17	1000	2.61e+06	0.15323	1.12634	43
18	1000	2.35406e+06	0.244767	-2.18336	93
19	1000	2.32609e+06	0.436662	-0.760793	14
20	1000	2.35156e+06	0.323104	-0.358392	24
21	1000	2.08531e+06	0.412796	1.6498	33
22	1000	2.55394e+06	0.232884	-1.03969	29
23	1000	2.56926e+06	0.181494	-0.597871	13
24	1000	1.08105e+06	0.256047	-0.281013	42
25	1000	1.70204e+06	0.361091	1.10666	222
26	1000	1.87851e+06	0.433009	-0.586392	34
27	1000	2.51457e+06	0.213668	0.474378	159
28	1000	1.71988e+06	0.318621	2.43752	33
29	1000	1.9658e+06	0.217817	1.13487	34
30	1000	3.511e+06	0.256463	-1.14622	19
31	1000	2.4901e+06	0.229805	-1.27478	31
32	1000	1.36668e+06	0.144818	-0.232687	80
33	1000	1.38853e+06	0.373906	-0.146444	39
34	1000	2.77557e+06	0.267125	1.14076	37
35	1000	3.08469e+06	0.293648	1.08691	23
36	1000	2.65276e+06	0.314383	-2.58412	31
37	1000	1.39032e+06	0.343902	-2.24654	30
38	1000	2.27669e+06	0.113982	-0.391881	34
39	1000	1.79392e+06	0.381817	-1.199	46
40	1000	1.58668e+06	0.17862	-0.487842	199
41	1000	2.80325e+06	0.344106	0.0697645	22
42	1000	2.89666e+06	0.228441	1.08137	50
43	1000	1.47228e+06	0.214285	-1.40044	56
44	1000	2.12462e+06	0.111704	-1.14574	117
45	1000	2.09269e+06	0.285294	-0.714951	27
46	1000	2.21702e+06	0.087617	-3.00513	19
47	1000	2.78513e+06	0.302465	2.37541	23
48	1000	1.74203e+06	0.274215	3.11878	371
49	1000	1.53363e+06	0.1128	1.67655	59
50	1000	1.06612e+06	0.388548	-1.7932	322
51	1000	1.01646e+06	0.425626	1.15639	74
52	1000	1.41157e+06	0.333422	0.12436	55
53	1000	2.88751e+06	0.317641	1.47683	70
54	1000	1.03289e+06	0.280643	-1.69446	295
55	1000	1.13088e+06	0.409444	-1.09076	120
56	1000	2.3722e+06	0.291583	2.75908	14
57	1000	999263	0.365737	-3.09658	258
58	1000	1.86177e+06	0.355719	-2.06453	60
59	1000	2.69405e+06	0.320777	-2.27376	36
60	1000	2.49907e+06	0.431714	-2.75645	37
61	1000	1.31728e+06	0.296792	1.22821	107
62	1000	2.37918e+06	0.442966	2.28545	149
63	1000	1.124e+06	0.216211	1.48001	65
64	1000	3.55888e+06	0.0793671	-2.05338	26
65	1000	2.1444e+06	0.369216	-2.19002	27
66	1000	1.48545e+06	0.343735	0.0668689	46
67	1000	1.75945e+06	0.234119	0.210425	110
68	1000	2.41267e+06	0.388516	-0.381152	36
69	1000	2.47345e+06	0.384747	-2.86723	13
70	1000	1.71125e+06	0.442983	-1.05916	27
71	1000	3.15697e+06	0.215003	-0.301044	135
72	1000	2.9944e+06	0.365332	-2.38954	15
73	1000	1.09729e+06	0.285718	-2.89324	141
74	1000	1.48873e+06	0.161162	-0.229985	38
75	1000	2.3651e+06	0.445382	-0.392794	16
76	1000	1.88591e+06	0.263085	1.21186	43
77	1000	1.34541e+06	0.391062	-1.77912	37
78	1000	2.94249e+06	0.143183	0.854466	48
79	1000	2.88101e+06	0.441416	2.65962	47
80	1000	3.22962e+06	0.38106	0.711193	18
81	1000	1.52667e+06	0.36633	1.71674	37
82	1000	1.47482e+06	0.305026	1.33185	283
83	1000	1.8109e+06	0.448765	-2.0409	54
84	1000	3.46592e+06	0.22212	1.82167	26
85	1000	2.94421e+06	0.213106	1.66559	24
86	1000	3.28487e+06	0.367532	1.99184	51
87	1000	1.37855e+06	0.324953	-2.45195	37
88	1000	1.1636e+06	0.325911	-1.71932	198
89	1000	2.37211e+06	0.151621	2.15037	60
90	1000	3.53504e+06	0.353832	-1.90143	26
91	1000	1.57968e+06	0.0715099	-3.09782	32
92	1000	1.89762e+06	0.392618	-0.588599	41
93	1000	3.38949e+06	0.447074	2.37038	53
94	1000	1.37621e+06	0.346675	2.60267	208
95	1000	2.43668e+06	0.323691	-0.97848	28
96	1000	1.41012e+06	0.276577	-0.383632	39
97	1000	2.07594e+06	0.269117	0.192931	44
98	1000	2.09963e+06	0.427284	1.44326	34
99	1000	1.71147e+06	0.145858	-0.305686	35
100	1000	2.66671e+06	0.161554	2.88092	35
101	1000	869112	0.262934	1.3194	189
102	1000	3.05651e+06	0.215443	-2.14086	106
103	1000	1.66908e+06	0.355062	-2.93256	39
104	1000	1.591e+06	0.343875	2.66087	22
105	1000	4.36348e+06	0.268897	2.88998	16
106	1000	1.66422e+06	0.326153	-2.63512	246
107	1000	3.03348e+06	0.318205	-2.35448	55
108	1000	1.12492e+06	0.294611	0.645461	127
109	1000	1.79813e+06	0.313721	-1.95099	50
110	1000	1.7246e+06	0.204606	2.15997	35
111	1000	2.97273e+06	0.17301	-2.34876	40
112	1000	2.35455e+06	0.0171452	-0.619214	24
113	1000	2.1312e+06	0.279877	-0.360826	45
114	1000	2.86223e+06	0.419897	-3.06541	26
115	1000	1.54542e+06	0.31145	-0.753081	62
116	1000	887295	0.382452	2.55153	208
117	1000	2.28593e+06	0.280017	1.76215	30
118	1000	3.13247e+06	0.391466	0.508476	21
119	1000	1.96134e+06	0.308041	-2.37841	26
120	1000	2.76884e+06	0.400342	-0.872956	44
121	1000	4.40549e+06	0.184044	-0.663295	20
122	1000	1.64409e+06	0.117804	0.508081	369
123	1000	2.56658e+06	0.208334	2.16002	53
124	1000	1.4971e+06	0.356716	2.42519	73
125	1000	3.02032e+06	0.124795	1.85987	30
126	1000	1.27449e+06	0.167902	-0.89913	68
127	1000	1.41184e+06	0.431292	-2.33236	41
128	1000	1.46748e+06	0.438914	-0.650022	63
129	1000	2.01258e+06	0.405853	0.176566	74
130	1000	1.61872e+06	0.0864684	-0.553585	106
131	1000	972748	0.381031	0.28515	143
132	1000	2.26537e+06	0.0690555	-1.55503	15
133	1000	1.59223e+06	0.229405	2.58115	75
134	1000	2.5099e+06	0.295359	-0.6595	36
135	1000	839305	0.074937	-1.72411	187
136	1000	2.30227e+06	0.231634	0.135713	24
137	1000	1.33585e+06	0.210818	0.512413	148
138	1000	3.81048e+06	0.187838	0.598679	22
139	1000	2.45019e+06	0.403708	-0.618604	46
140	1000	2.29207e+06	0.362752	-3.08204	30
141	1000	2.15387e+06	0.155298	-2.78442	34
142	1000	1.84825e+06	0.420995	0.417774	129
143	1000	2.46402e+06	0.419058	0.45685	96
144	1000	4.54416e+06	0.396822	-2.52899	11
145	1000	2.34891e+06	0.129292	1.24623	17
146	1000	2.34621e+06	0.180822	0.807979	33
147	1000	2.52166e+06	0.291033	2.06983	32
148	1000	2.8731e+06	0.157001	-0.617825	31
149	1000	4.81646e+06	0.163026	-2.56661	47
150	1000	1.62516e+06	0.270369	0.589664	67
151	1000	1.40015e+06	0.337942	-0.270455	51
152	1000	2.12143e+06	0.280653	2.30264	25
153	1000	1.14653e+06	0.171993	-0.530457	91
154	1000	2.45706e+06	0.215939	1.74119	318
155	1000	1.55247e+06	0.406289	1.35732	32
156	1000	892821	0.367952	-2.4155	77
157	1000	2.75808e+06	0.127127	-1.79384	86
158	1000	1.59132e+06	0.136323	-0.810169	44
159	1000	2.22753e+06	0.402051	-1.58622	31
160	1000	1.92084e+06	0.437957	1.85078	130
161	1000	1.77778e+06	0.349713	0.373599	71
162	1000	1.72527e+06	0.274781	-2.21062	104
163	1000	2.20336e+06	0.330888	1.79949	23
164	1000	979299	0.387228	0.821607	120
165	1000	1.42048e+06	0.349676	-1.60708	99
166	1000	3.35748e+06	0.198399	0.18295	16
167	1000	1.87192e+06	0.405707	2.90537	331
168	1000	2.19714e+06	0.445059	0.923712	117
169	1000	811870	0.318571	-1.14975	397
170	1000	3.05538e+06	0.373435	-1.50435	14
171	1000	1.19797e+06	0.305047	-2.53199	176
172	1000	1.65202e+06	0.432169	-0.743335	22
173	1000	3.15608e+06	0.425878	1.52768	29
174	1000	5.34737e+06	0.125623	0.43997	28
175	1000	931590	0.4308	0.0211648	130
176	1000	2.74589e+06	0.447473	2.72581	27
177	1000	1.8682e+06	0.349082	2.3741	48
178	1000	1.18204e+06	0.14786	-2.29502	162
179	1000	1.36518e+06	0.176912	-2.34937	29
180	1000	2.71632e+06	0.105041	0.929457	17
181	1000	1.97292e+06	0.32307	-3.06264	28
182	1000	5.851e+06	0.155353	-0.354745	42
183	1000	2.98517e+06	0.40329	0.35415	28
184	1000	1.23192e+06	0.128906	-1.41949	236
185	1000	1.01572e+06	0.188071	-2.66472	147
186	1000	1.68345e+06	0.330266	-0.852862	34
187	1000	2.87389e+06	0.296237	1.90121	19
188	1000	6.97514e+06	0.22807	-0.977369	125
189	1000	2.5614e+06	0.398059	-2.96124	163
190	1000	1.36026e+06	0.342922	-1.35808	57
191	1000	1.84987e+06	0.260503	-2.99513	48
192	1000	1.36479e+06	0.360291	0.987199	34
193	1000	1.33244e+06	0.27678	2.26294	150
194	1000	1.56335e+06	0.427589	0.549217	35
195	1000	1.45686e+06	0.412332	-1.97656	183
196	1000	4.41598e+06	0.239176	-2.3319	9
197	1000	2.19738e+06	0.326295	-2.40996	103
198	1000	4.31208e+06	0.447186	2.30411	30
199	1000	1.96338e+06	0.309975	2.95664	34
200	1000	1.57808e+06	0.0242738	0.0428362	377
201	1000	2.94524e+06	0.108435	-0.187608	81
202	1000	736228	0.424341	-2.9768	211
203	1000	2.0239e+06	0.433653	0.447155	34
204	1000	1.73328e+06	0.351602	1.69549	33
205	1000	3.56129e+06	0.346067	-0.983355	17
206	1000	2.79227e+06	0.167072	0.309358	15
207	1000	1.50916e+06	0.36196	1.76811	82
208	1000	1.32784e+06	0.250772	2.04505	172
209	1000	2.15949e+06	0.151222	2.6316	19
210	1000	1.36135e+06	0.408045	-0.893989	44
211	1000	981581	0.0479987	1.68115	481
212	1000	1.47751e+06	0.411005	-2.07204	52
213	1000	2.46721e+06	0.301291	2.622	49
214	1000	1.6029e+06	0.37037	-3.12657	52
215	1000	2.25723e+06	0.264331	2.97059	31
216	1000	2.36551e+06	0.210941	0.408172	16
217	1000	2.23462e+06	0.140988	1.17109	34
218	1000	2.52612e+06	0.350391	-0.496209	372
219	1000	3.13516e+06	0.350736	-1.40506	17
220	1000	2.03686e+06	0.182588	-2.06003	56
221	1000	2.52763e+06	0.24258	0.649205	25
222	1000	2.57928e+06	0.338394	1.72277	27
223	1000	2.0329e+06	0.329424	0.684375	47
224	1000	1.13452e+06	0.446717	2.5187	50
225	1000	1.28416e+06	0.202188	-0.559981	150
226	1000	1.3056e+06	0.312593	2.86132	89
227	1000	1.71098e+06	0.324933	1.25971	35
228	1000	1.74891e+06	0.108867	1.95923	37
229	1000	1.53242e+06	0.21565	1.86944	40
230	1000	1.60465e+06	0.37152	3.08584	69
231	1000	1.73818e+06	0.192617	2.78074	39
232	1000	1.68519e+06	0.403391	2.50441	30
233	1000	2.05379e+06	0.256823	0.0465837	75
234	1000	2.38332e+06	0.110676	-1.19323	32
235	1000	1.91524e+06	0.26929	1.10275	36
236	1000	2.39597e+06	0.443031	2.3464	53
237	1000	1.25159e+06	0.0941351	1.3499	182
238	1000	2.26266e+06	0.0632261	0.745902	50
239	1000	2.76776e+06	0.420325	-0.786324	43
240	1000	2.11224e+06	0.362132	0.156991	33
241	1000	2.4281e+06	0.436317	-0.868792	17
242	1000	1.85657e+06	0.428083	-0.0849352	44
243	1000	1.77593e+06	0.224839	-2.03176	34
244	1000	2.7471e+06	0.290877	-0.730614	8
245	1000	2.45376e+06	0.177174	-2.20834	95
246	1000	3.05618e+06	0.432246	1.06252	24
247	1000	2.24758e+06	0.252214	0.878221	53
248	1000	1.96204e+06	0.157677	-0.109364	24
249	1000	1.22703e+06	0.378576	-0.100213	75
250	1000	2.50073e+06	0.270282	1.60553	60
251	1000	2.4397e+06	0.239588	1.26501	50
252	1000	1.33317e+06	0.321779	-1.02162	73
253	1000	1.21689e+06	0.373283	2.48409	154
254	1000	2.54161e+06	0.293235	2.20044	44
255	1000	1.64734e+06	0.203512	-0.125386	43
256	1000	3.48421e+06	0.219976	-2.46312	55
257	1000	1.91519e+06	0.404685	-1.831	18
258	1000	1.9091e+06	0.256041	1.02067	21
