        Sim_Code  PCR_Mass   Lab  NShows  PCR_EMin  PCR_EMax  PCR_ThMin  PCR_ThMax  Det_S
0  Corsika-77500         1  BUAP    1000         9        11          0         25    1.0
       iClst  nShow  NPart         CCode  sCCode  NGam  NEle  NMu  ftP_ID  ltP_ID         dXm         dYm         dRm         sRm           Tmin          dT             Tm            sT          Px         Py          Pz         Ene      Theta     sTheta        Phi         dE/dS         dE/dT        dE/dTS    Thermy
42      43.0    1.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     1.0  160.443194   94.996607  186.457432    0.000000   70717.743830    0.000000   70717.743830  0.000000e+00   -0.284969  -0.005859    0.631953    0.693258  24.276793  12.392965   1.177790 -6.932583e+05 -6.932583e+05  6.932583e+11  0.235435
45      46.0    1.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -382.466691  436.994111  580.727667   71.096822   70712.636174    0.012663   70712.642506  8.954103e-03   -0.240634  -0.003335    0.595618    0.642403  22.000980  12.525705   0.794008  1.270888e-04  7.175200e+01  1.419494e-02  0.233912
91      92.0    1.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -145.989187    9.844103  146.320707  443.820135   70645.872943   20.736960   70656.241423  1.466325e+01   -0.431486   0.038070    1.011499    1.102547  23.182472  13.705227  -5.042118  5.597357e-06  7.519119e-02  3.817271e-07  0.257738
121    122.0    1.0    4.0  2.002000e+03     3.0   2.0   2.0  0.0     1.0     1.0  179.110044 -173.824725  249.590550  338.431823   70603.157474    0.033251   70603.176559  1.392020e-02   -0.814666   0.052974    2.046188    2.203205  21.750972   7.487273  -3.720462  1.923590e-05  1.582853e+02  1.381968e-03  0.140294
161    162.0    1.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0 -172.940473   51.883327  180.555495  349.138484   70589.795135    0.057354   70589.823812  4.055566e-02   -0.563949   0.039805    1.465170    1.570515  21.099659   4.213379  -4.037381  1.288388e-05  3.872588e+01  3.176917e-04  0.078751
171    172.0    1.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -172.753884  130.088839  216.256816  142.824393   70596.239427    0.059038   70596.268945  4.174604e-02   -0.236869   0.014435    0.615459    0.659631  21.085647   9.538824  -3.487373  3.233673e-05  1.580142e+01  7.746245e-04  0.177608
189    190.0    1.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -282.198611   72.604368  291.388830  621.437090   70604.625142    0.034461   70604.642373  2.436771e-02   -0.135357   0.013788    0.364521    0.389088  20.468117   2.888914  -5.816418  1.007519e-06  1.596800e+01  4.134817e-05  0.053796
196    197.0    1.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0 -418.524023 -166.251800  450.335451  206.322376   70649.809892    0.085805   70649.852794  6.067304e-02   -0.116936   0.007022    0.267100    0.291683  23.681577   9.034711  -3.436329  6.852018e-06  4.807536e+00  1.129353e-04  0.171472
261     32.0    2.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -413.587052  140.235318  436.715232   67.144287   69321.524398    0.061091   69321.554944  4.319817e-02    0.091584   0.051901    0.220911    0.244781  25.478711   8.580254  29.540380  5.429498e-05  5.666600e+00  1.256911e-03  0.165268
281      2.0    3.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     3.0     2.0 -241.838152    3.499166  241.863466  118.912261   72539.254273    0.007973   72539.258259  5.638115e-03   -0.059474  -0.004516    0.198067    0.206885  16.759013   2.261095   4.342162  1.463108e-05  3.670058e+01  2.595492e-03  0.041203
